"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","144586"," ","2","151243","","","","","","",""
"questionnairePartA","","68566","{""Q0"":0,""Q1"":3,""Q2"":4,""Q3"":2,""Q4"":1,""Q5"":0,""Q6"":1,""Q7"":1,""Q8"":2,""Q9"":0}","3","219820","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1538","j","6","230514","","light","fit","fit","fat","fit","true"
"iat","","1990","j","8","232758","","slim","fit","fit","fat","fit","true"
"iat","","932","f","10","233957","","flabby","fat","fat","fat","fit","true"
"iat","","746","j","12","234967","","gaunt","fit","fit","fat","fit","true"
"iat","","761","j","14","235986","","skinny","fit","fit","fat","fit","true"
"iat","","629","j","16","236880","","small","fit","fit","fat","fit","true"
"iat","","735","j","18","237879","","tight","fit","fit","fat","fit","true"
"iat","","953","j","20","239084","","light","fit","fit","fat","fit","true"
"iat","","604","f","22","239947","","obese","fat","fat","fat","fit","true"
"iat","","866","j","24","241072","","small","fit","fit","fat","fit","true"
"iat","","6954","f","26","248291","","weight","fat","fat","fat","fit","true"
"iat","","1321","j","28","249866","","tight","fit","fit","fat","fit","true"
"iat","","2202","f","30","252332","","heavy","fat","fat","fat","fit","true"
"iat","","1752","j","32","254351","","muscle","fit","fit","fat","fit","true"
"iat","","2046","j","34","256657","","gaunt","fit","fit","fat","fit","true"
"iat","","958","f","36","257869","","plump","fat","fat","fat","fit","true"
"iat","","2705","f","38","260841","","full","fat","fat","fat","fit","true"
"iat","","1602","j","40","262709","","fit","fit","fit","fat","fit","true"
"iat","","1164","f","42","264130","","fat","fat","fat","fat","fit","true"
"iat","","869","j","44","265268","","skinny","fit","fit","fat","fit","true"
"iat","","898","j","46","266424","","fit","fit","fit","fat","fit","true"
"iat","","500","f","48","267183","","chubby","fat","fat","fat","fit","true"
"iat","","561","f","50","268003","","thick","fat","fat","fat","fit","true"
"iat","","583","j","52","268844","","thin","fit","fit","fat","fit","true"
"iat","","1059","f","54","270158","","chubby","fat","fat","fat","fit","true"
"iat","","1485","f","56","271911","","full","fat","fat","fat","fit","true"
"iat","","716","f","58","272890","","thick","fat","fat","fat","fit","true"
"iat","","818","f","60","273971","","stout","fat","fat","fat","fit","true"
"iat","","936","j","62","275163","","lean","fit","fit","fat","fit","true"
"iat","","603","f","64","276021","","fat","fat","fat","fat","fit","true"
"iat","","2985","j","66","279260","","lean","fit","fit","fat","fit","true"
