"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","110041"," ","2","120966","","","","","","",""
"questionnairePartA","","28771","{""Q0"":3,""Q1"":3,""Q2"":2,""Q3"":2,""Q4"":2,""Q5"":1}","3","149744","[0,1,2,3,4,5]","","","","","",""
"questionnairePartB","","18721","{""Q0"":3,""Q1"":2,""Q2"":2,""Q3"":2,""Q4"":1,""Q5"":2}","4","168471","[0,1,2,3,4,5]","","","","","",""
"iat","","1517","f","7","173348","","natural","healthy","healthy","healthy","unhealthy","true"
"iat","","926","f","9","174530","","beans","healthy","healthy","healthy","unhealthy","true"
"iat","","668","j","11","175453","","soda","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","662","f","13","176370","","lettuce","healthy","healthy","healthy","unhealthy","true"
"iat","","580","f","15","177205","","salad","healthy","healthy","healthy","unhealthy","true"
"iat","","549","f","17","178008","","apple","healthy","healthy","healthy","unhealthy","true"
"iat","","401","f","19","178663","","apple","healthy","healthy","healthy","unhealthy","true"
"iat","","563","f","21","179481","","fish","healthy","healthy","healthy","unhealthy","true"
"iat","","641","j","23","180375","","sugar","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","695","j","25","181325","","cake","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","497","j","27","182077","","junk","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","502","j","29","182832","","grease","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","450","j","31","183536","","dirty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","498","f","33","184289","","clean","healthy","healthy","healthy","unhealthy","true"
"iat","","619","f","35","185161","","lettuce","healthy","healthy","healthy","unhealthy","true"
"iat","","640","j","37","186057","","chips","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","1066","j","39","187377","","fast","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","522","f","41","188153","","clean","healthy","healthy","healthy","unhealthy","true"
"iat","","746","f","43","189154","","water","healthy","healthy","healthy","unhealthy","true"
"iat","","1038","f","45","190446","","salty","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","813","j","47","191512","","cake","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","632","f","49","192399","","nutrient","healthy","healthy","healthy","unhealthy","true"
"iat","","484","j","51","193138","","salty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","836","f","53","194227","","water","healthy","healthy","healthy","unhealthy","true"
"iat","","719","f","55","195200","","nutrient","healthy","healthy","healthy","unhealthy","true"
"iat","","530","j","57","195983","","dirty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","588","f","59","196823","","candy","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","691","j","61","197769","","grease","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","553","j","63","198575","","candy","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","656","f","65","199486","","beans","healthy","healthy","healthy","unhealthy","true"
"iat","","738","f","67","200479","","natural","healthy","healthy","healthy","unhealthy","true"
"iat","","586","j","69","201320","","junk","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","4195","j","71","205769","","fast","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","1073","f","73","207096","","corn","healthy","healthy","healthy","unhealthy","true"
"iat","","565","f","75","207914","","corn","healthy","healthy","healthy","unhealthy","true"
"iat","","557","j","77","208726","","sugar","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","3254","f","80","214216","","lean","fit","fit","fit","fat","true"
"iat","","724","j","82","215193","","obese","fat","fat","fit","fat","true"
"iat","","772","f","84","216220","","tight","fit","fit","fit","fat","true"
"iat","","610","f","86","217084","","lean","fit","fit","fit","fat","true"
"iat","","521","j","88","217859","","fat","fat","fat","fit","fat","true"
"iat","","687","j","90","218802","","plump","fat","fat","fit","fat","true"
"iat","","521","j","92","219577","","thick","fat","fat","fit","fat","true"
"iat","","675","f","94","220507","","tight","fit","fit","fit","fat","true"
"iat","","577","f","96","221338","","muscle","fit","fit","fit","fat","true"
"iat","","611","f","98","222202","","fit","fit","fit","fit","fat","true"
"iat","","643","f","100","223100","","slim","fit","fit","fit","fat","true"
"iat","","566","f","102","223919","","light","fit","fit","fit","fat","true"
"iat","","1036","f","104","225210","","weight","fat","fat","fit","fat","false"
"iat","","1672","f","106","227137","","light","fit","fit","fit","fat","true"
"iat","","473","j","108","227863","","heavy","fat","fat","fit","fat","true"
"iat","","682","f","110","228800","","skinny","fit","fit","fit","fat","true"
"iat","","793","j","112","229847","","full","fat","fat","fit","fat","true"
"iat","","504","j","114","230606","","flabby","fat","fat","fit","fat","true"
"iat","","466","j","116","231325","","flabby","fat","fat","fit","fat","true"
"iat","","506","j","118","232086","","chubby","fat","fat","fit","fat","true"
"iat","","776","j","120","233116","","weight","fat","fat","fit","fat","true"
"iat","","676","f","122","234046","","slim","fit","fit","fit","fat","true"
"iat","","1001","j","124","235301","","full","fat","fat","fit","fat","true"
"iat","","460","j","126","236015","","obese","fat","fat","fit","fat","true"
"iat","","747","f","128","237017","","muscle","fit","fit","fit","fat","true"
"iat","","746","j","130","238017","","stout","fat","fat","fit","fat","true"
"iat","","1971","f","132","240243","","thin","fit","fit","fit","fat","true"
"iat","","965","j","134","241461","","stout","fat","fat","fit","fat","true"
"iat","","1538","j","136","243252","","thick","fat","fat","fit","fat","true"
"iat","","496","j","138","244001","","heavy","fat","fat","fit","fat","true"
"iat","","4243","f","140","248497","","small","fit","fit","fit","fat","true"
"iat","","4965","j","142","253717","","gaunt","fit","fit","fit","fat","false"
"iat","","572","f","144","254544","","thin","fit","fit","fit","fat","true"
"iat","","528","j","146","255326","","chubby","fat","fat","fit","fat","true"
