"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video2","138685"," ","2","1235467","","","","","","",""
"questionnairePartA","","68787","{""Q0"":2,""Q1"":3,""Q2"":4,""Q3"":2,""Q4"":3,""Q5"":3,""Q6"":4,""Q7"":2,""Q8"":2,""Q9"":0}","3","1304255","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","2145","f","6","1315640","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","780","j","8","1316676","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","2226","j","10","1319158","","fast","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","2811","f","12","1322225","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1121","j","14","1323602","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","2551","f","16","1326407","","corn","healthy","healthy","unhealthy","healthy","false"
"iat","","2671","f","18","1329333","","salty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","807","j","20","1330395","","apple","healthy","healthy","unhealthy","healthy","true"
"iat","","683","j","22","1331331","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","1030","j","24","1332614","","clean","healthy","healthy","unhealthy","healthy","true"
"iat","","1511","j","26","1334380","","salty","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","1312","f","28","1335946","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1939","j","30","1338139","","corn","healthy","healthy","unhealthy","healthy","true"
"iat","","1555","j","32","1339948","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","1473","f","34","1341674","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1307","f","36","1343236","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1254","j","38","1344745","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","2236","f","40","1347235","","fast","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1092","j","42","1348582","","apple","healthy","healthy","unhealthy","healthy","true"
"iat","","765","f","44","1349603","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","689","f","46","1350547","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","724","f","48","1351526","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","743","j","50","1352523","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","1004","f","52","1353782","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","836","j","54","1354873","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","1161","j","56","1356287","","fish","healthy","healthy","unhealthy","healthy","true"
"iat","","781","j","58","1357323","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","770","j","60","1358345","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","975","f","62","1359575","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","841","f","64","1360671","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","881","j","66","1361806","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","703","f","68","1362764","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1173","f","70","1364193","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1422","j","72","1365869","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","1349","f","74","1367473","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","640","j","76","1368367","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","2528","f","79","1375232","","light","fit","fit","fit","fat","true"
"iat","","944","f","81","1376431","","fit","fit","fit","fit","fat","true"
"iat","","694","f","83","1377380","","fit","fit","fit","fit","fat","true"
"iat","","1000","j","85","1378635","","thick","fat","fat","fit","fat","true"
"iat","","2017","j","87","1380906","","weight","fat","fat","fit","fat","true"
"iat","","1669","f","89","1382829","","thin","fit","fit","fit","fat","true"
"iat","","1548","f","91","1384631","","weight","fat","fat","fit","fat","false"
"iat","","2274","f","93","1387160","","chubby","fat","fat","fit","fat","false"
"iat","","883","f","95","1388298","","skinny","fit","fit","fit","fat","true"
"iat","","811","f","97","1389364","","small","fit","fit","fit","fat","true"
"iat","","1374","j","99","1390993","","obese","fat","fat","fit","fat","true"
"iat","","956","f","101","1392203","","lean","fit","fit","fit","fat","true"
"iat","","1316","f","103","1393774","","muscle","fit","fit","fit","fat","true"
"iat","","1665","f","105","1395694","","tight","fit","fit","fit","fat","true"
"iat","","1299","f","107","1397247","","full","fat","fat","fit","fat","false"
"iat","","966","j","109","1398468","","obese","fat","fat","fit","fat","true"
"iat","","717","f","111","1399440","","slim","fit","fit","fit","fat","true"
"iat","","570","f","113","1400265","","slim","fit","fit","fit","fat","true"
"iat","","857","f","115","1401377","","small","fit","fit","fit","fat","true"
"iat","","1109","f","117","1402740","","chubby","fat","fat","fit","fat","false"
"iat","","1667","f","119","1404662","","tight","fit","fit","fit","fat","true"
"iat","","1193","f","121","1406110","","thick","fat","fat","fit","fat","false"
"iat","","1915","f","123","1408280","","light","fit","fit","fit","fat","true"
"iat","","652","f","125","1409186","","thin","fit","fit","fit","fat","true"
"iat","","2166","f","127","1411606","","stout","fat","fat","fit","fat","false"
"iat","","1282","j","129","1413142","","heavy","fat","fat","fit","fat","true"
"iat","","1550","j","131","1414947","","gaunt","fit","fit","fit","fat","false"
"iat","","1078","f","133","1416279","","stout","fat","fat","fit","fat","false"
"iat","","1909","f","135","1418441","","full","fat","fat","fit","fat","false"
"iat","","930","j","137","1419626","","fat","fat","fat","fit","fat","true"
"iat","","1878","j","139","1421759","","flabby","fat","fat","fit","fat","true"
"iat","","2770","f","141","1424784","","plump","fat","fat","fit","fat","false"
"iat","","616","f","143","1425655","","lean","fit","fit","fit","fat","true"
"iat","","1085","f","145","1426995","","gaunt","fit","fit","fit","fat","true"
"iat","","731","j","147","1427981","","heavy","fat","fat","fit","fat","true"
"iat","","3375","f","149","1431611","","plump","fat","fat","fit","fat","false"
"iat","","2388","j","152","1448951","","beans","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","827","j","154","1450032","","water","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","678","j","156","1450964","","salad","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1359","f","158","1452578","","sugar","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1223","f","160","1454055","","fit","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1732","f","162","1456042","","cake","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1328","f","164","1457626","","tight","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1186","f","166","1459067","","muscle","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1577","j","168","1460899","","corn","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1965","f","170","1463118","","salty","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1052","j","172","1464425","","fish","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","2353","j","174","1467033","","flabby","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","3069","j","176","1470357","","weight","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1018","j","178","1471630","","clean","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1212","j","180","1473096","","full","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1248","f","182","1474598","","gaunt","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","2877","f","184","1477730","","skinny","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","2613","j","186","1480593","","natural","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1473","f","188","1482318","","obese","fat","healthy or fat","unhealthy or fit","healthy or fat","false"
"iat","","5096","j","190","1487663","","fast","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","false"
"iat","","2468","f","192","1490384","","dirty","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","4497","f","194","1495132","","light","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","3265","j","196","1498650","","fat","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","2551","j","198","1501454","","lean","fit","unhealthy or fit","unhealthy or fit","healthy or fat","false"
"iat","","2916","j","200","1504623","","apple","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1831","f","202","1506708","","heavy","fat","healthy or fat","unhealthy or fit","healthy or fat","false"
"iat","","3026","f","204","1509989","","candy","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1585","j","206","1511827","","thin","fit","unhealthy or fit","unhealthy or fit","healthy or fat","false"
"iat","","3417","f","208","1515498","","chips","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","2380","j","210","1518133","","plump","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1341","f","212","1519728","","junk","unhealthy","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","1588","j","214","1521570","","slim","fit","unhealthy or fit","unhealthy or fit","healthy or fat","false"
"iat","","4583","f","216","1526407","","stout","fat","healthy or fat","unhealthy or fit","healthy or fat","false"
"iat","","2259","f","218","1528921","","small","fit","unhealthy or fit","unhealthy or fit","healthy or fat","true"
"iat","","4890","j","220","1534064","","chubby","fat","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1244","j","222","1535563","","nutrient","healthy","healthy or fat","unhealthy or fit","healthy or fat","true"
"iat","","1430","j","225","1558922","","fat","fat","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","1348","j","227","1560524","","flabby","fat","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","2277","j","229","1563055","","thick","fat","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","1291","f","231","1564601","","lettuce","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","2787","j","233","1567643","","heavy","fat","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","2624","j","235","1570520","","salty","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","895","f","237","1571669","","salad","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","915","f","239","1572838","","tight","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","2121","j","241","1575214","","soda","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","697","j","243","1576166","","grease","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","836","j","245","1577256","","cake","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","2068","f","247","1579578","","water","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","844","j","249","1580677","","sugar","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","961","j","251","1581892","","chips","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","1419","f","253","1583567","","stout","fat","unhealthy or fat","healthy or fit","unhealthy or fat","false"
"iat","","967","f","255","1584789","","lean","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1289","f","257","1586333","","fish","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1404","j","259","1587992","","obese","fat","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","1040","f","261","1589286","","full","fat","unhealthy or fat","healthy or fit","unhealthy or fat","false"
"iat","","726","f","263","1590264","","beans","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","667","j","265","1591186","","junk","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","1665","j","267","1593105","","gaunt","fit","healthy or fit","healthy or fit","unhealthy or fat","false"
"iat","","1054","f","269","1594414","","plump","fat","unhealthy or fat","healthy or fit","unhealthy or fat","false"
"iat","","1669","f","271","1596335","","small","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1176","j","273","1597766","","dirty","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","true"
"iat","","2727","f","275","1600747","","natural","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","607","f","277","1601606","","light","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1082","f","279","1602942","","fast","unhealthy","unhealthy or fat","healthy or fit","unhealthy or fat","false"
"iat","","568","f","281","1603764","","skinny","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","855","f","283","1604874","","muscle","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1001","f","285","1606129","","chubby","fat","unhealthy or fat","healthy or fit","unhealthy or fat","false"
"iat","","2816","f","287","1609200","","slim","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","584","f","289","1610037","","thin","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","1023","f","291","1611315","","apple","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","780","f","293","1612350","","clean","healthy","healthy or fit","healthy or fit","unhealthy or fat","true"
"iat","","755","f","295","1613359","","fit","fit","healthy or fit","healthy or fit","unhealthy or fat","true"
