"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","83405"," ","2","94122","","","","","","",""
"questionnairePartA","","59189","{""Q0"":0,""Q1"":2,""Q2"":1,""Q3"":1,""Q4"":3,""Q5"":1,""Q6"":4,""Q7"":3,""Q8"":2,""Q9"":0}","3","153315","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1491","j","6","161473","","slim","fit","fit","fat","fit","true"
"iat","","996","j","8","162727","","fit","fit","fit","fat","fit","true"
"iat","","2488","f","10","165472","","thick","fat","fat","fat","fit","true"
"iat","","963","j","12","166689","","small","fit","fit","fat","fit","true"
"iat","","2566","j","14","169511","","tight","fit","fit","fat","fit","true"
"iat","","2894","j","16","172660","","skinny","fit","fit","fat","fit","true"
"iat","","2503","j","18","175419","","tight","fit","fit","fat","fit","true"
"iat","","1244","f","20","176917","","fat","fat","fat","fat","fit","true"
"iat","","2638","f","22","179810","","gaunt","fit","fit","fat","fit","false"
"iat","","924","j","24","180991","","lean","fit","fit","fat","fit","true"
"iat","","2988","f","26","184235","","heavy","fat","fat","fat","fit","true"
"iat","","1593","f","28","186084","","stout","fat","fat","fat","fit","true"
"iat","","1169","f","30","187507","","muscle","fit","fit","fat","fit","false"
"iat","","1368","f","32","189127","","plump","fat","fat","fat","fit","true"
"iat","","712","j","34","190095","","thin","fit","fit","fat","fit","true"
"iat","","800","f","36","191148","","flabby","fat","fat","fat","fit","true"
"iat","","823","j","38","192224","","fit","fit","fit","fat","fit","true"
"iat","","2208","f","40","194686","","gaunt","fit","fit","fat","fit","false"
"iat","","2623","j","42","197564","","skinny","fit","fit","fat","fit","true"
"iat","","1559","j","44","199380","","light","fit","fit","fat","fit","true"
"iat","","2451","f","46","202085","","thick","fat","fat","fat","fit","true"
"iat","","897","f","48","203235","","obese","fat","fat","fat","fit","true"
"iat","","638","f","50","204128","","chubby","fat","fat","fat","fit","true"
"iat","","278","j","52","204660","","stout","fat","fat","fat","fit","false"
"iat","","2569","f","54","207483","","weight","fat","fat","fat","fit","true"
"iat","","1852","j","56","209590","","thin","fit","fit","fat","fit","true"
"iat","","2296","f","58","212139","","flabby","fat","fat","fat","fit","true"
"iat","","918","f","60","213313","","obese","fat","fat","fat","fit","true"
"iat","","819","f","62","214388","","full","fat","fat","fat","fit","true"
"iat","","474","f","64","215117","","full","fat","fat","fat","fit","true"
"iat","","578","f","66","215951","","muscle","fit","fit","fat","fit","false"
"iat","","738","j","68","216944","","small","fit","fit","fat","fit","true"
"iat","","765","f","70","217964","","heavy","fat","fat","fat","fit","true"
"iat","","1159","f","72","219377","","weight","fat","fat","fat","fit","true"
"iat","","936","f","74","220569","","fat","fat","fat","fat","fit","true"
"iat","","822","j","76","221646","","lean","fit","fit","fat","fit","true"
"iat","","1721","f","79","224626","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","607","f","81","225488","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","4477","j","83","230219","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","782","j","85","231256","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","1349","j","87","232861","","fast","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","5505","f","89","238620","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","751","j","91","239625","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","1946","j","93","241826","","clean","healthy","healthy","unhealthy","healthy","true"
"iat","","676","j","95","242756","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","884","f","97","243897","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","692","f","99","244844","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1122","j","101","246221","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","1273","f","103","247748","","fast","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","982","j","105","248985","","fish","healthy","healthy","unhealthy","healthy","true"
"iat","","959","f","107","250200","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","2183","f","109","252637","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1380","j","111","254272","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","701","j","113","255227","","clean","healthy","healthy","unhealthy","healthy","true"
"iat","","1389","j","115","256870","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","748","f","117","257871","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1011","f","119","259136","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","813","f","121","260205","","apple","healthy","healthy","unhealthy","healthy","false"
"iat","","1468","f","123","261928","","salty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","891","f","125","263074","","fish","healthy","healthy","unhealthy","healthy","false"
"iat","","983","j","127","264313","","apple","healthy","healthy","unhealthy","healthy","true"
"iat","","659","j","129","265229","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","1500","j","131","266984","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","2603","f","133","269842","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","823","j","135","270919","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","647","j","137","271820","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","677","f","139","272753","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1237","f","141","274245","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1407","f","143","275908","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1309","j","145","277473","","corn","healthy","healthy","unhealthy","healthy","true"
