"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video2","137666"," ","2","145797","","","","","","",""
"questionnairePartA","","35571","{""Q0"":3,""Q1"":1,""Q2"":4,""Q3"":1,""Q4"":3,""Q5"":3,""Q6"":4,""Q7"":2,""Q8"":2,""Q9"":2}","3","181372","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1377","f","6","187639","","thin","fit","fit","fit","fat","true"
"iat","","666","f","8","188561","","lean","fit","fit","fit","fat","true"
"iat","","639","f","10","189456","","muscle","fit","fit","fit","fat","true"
"iat","","579","f","12","190289","","thin","fit","fit","fit","fat","true"
"iat","","766","j","14","191311","","obese","fat","fat","fit","fat","true"
"iat","","773","f","16","192340","","skinny","fit","fit","fit","fat","true"
"iat","","646","f","18","193241","","light","fit","fit","fit","fat","true"
"iat","","538","j","20","194034","","small","fit","fit","fit","fat","false"
"iat","","726","f","22","195014","","light","fit","fit","fit","fat","true"
"iat","","604","j","24","195873","","flabby","fat","fat","fit","fat","true"
"iat","","749","f","26","196876","","weight","fat","fat","fit","fat","false"
"iat","","2873","f","28","200004","","tight","fit","fit","fit","fat","true"
"iat","","863","f","30","201123","","skinny","fit","fit","fit","fat","true"
"iat","","1174","j","32","202551","","weight","fat","fat","fit","fat","true"
"iat","","1013","f","34","203819","","fit","fit","fit","fit","fat","true"
"iat","","2529","j","36","206603","","gaunt","fit","fit","fit","fat","false"
"iat","","1144","f","38","208002","","slim","fit","fit","fit","fat","true"
"iat","","698","j","40","208953","","flabby","fat","fat","fit","fat","true"
"iat","","717","j","42","209924","","thick","fat","fat","fit","fat","true"
"iat","","638","j","44","210817","","fat","fat","fat","fit","fat","true"
"iat","","673","j","46","211744","","plump","fat","fat","fit","fat","true"
"iat","","691","j","48","212689","","heavy","fat","fat","fit","fat","true"
"iat","","637","j","50","213581","","lean","fit","fit","fit","fat","false"
"iat","","2744","f","52","216579","","small","fit","fit","fit","fat","true"
"iat","","823","f","54","217656","","fit","fit","fit","fit","fat","true"
"iat","","753","j","56","218663","","fat","fat","fat","fit","fat","true"
"iat","","1212","j","58","220129","","stout","fat","fat","fit","fat","true"
"iat","","2395","j","60","222778","","full","fat","fat","fit","fat","true"
"iat","","665","j","62","223699","","heavy","fat","fat","fit","fat","true"
"iat","","674","j","64","224627","","stout","fat","fat","fit","fat","true"
"iat","","912","j","66","225793","","thick","fat","fat","fit","fat","true"
"iat","","712","f","68","226760","","muscle","fit","fit","fit","fat","true"
"iat","","796","j","70","227814","","full","fat","fat","fit","fat","true"
"iat","","929","j","72","228998","","chubby","fat","fat","fit","fat","true"
"iat","","799","f","74","230052","","tight","fit","fit","fit","fat","true"
"iat","","817","j","76","231124","","plump","fat","fat","fit","fat","true"
"iat","","1844","f","79","235586","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","711","f","81","236552","","salty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1041","j","83","237848","","corn","healthy","healthy","unhealthy","healthy","true"
"iat","","1890","j","85","239991","","natural","healthy","healthy","unhealthy","healthy","true"
"iat","","616","j","87","240861","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","677","j","89","241793","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","473","j","91","242520","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","804","f","93","243579","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1809","j","95","245643","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","980","f","97","246877","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","475","f","99","247606","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","781","j","101","248641","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","1644","f","103","250540","","sugar","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","573","f","105","251368","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","843","j","107","252467","","corn","healthy","healthy","unhealthy","healthy","true"
"iat","","955","j","109","253677","","water","healthy","healthy","unhealthy","healthy","true"
"iat","","645","j","111","254576","","salad","healthy","healthy","unhealthy","healthy","true"
"iat","","921","f","113","255751","","clean","healthy","healthy","unhealthy","healthy","false"
"iat","","1499","f","115","257504","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","642","f","117","258400","","grease","unhealthy","unhealthy","unhealthy","healthy","true"
