"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","96020"," ","2","98893","","","","","","",""
"questionnairePartA","","35435","{""Q0"":3,""Q1"":1,""Q2"":2,""Q3"":1,""Q4"":3,""Q5"":3,""Q6"":4,""Q7"":1,""Q8"":1,""Q9"":4}","3","134333","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1341","j","6","143768","","flabby","fat","fat","fit","fat","true"
"iat","","699","f","8","144724","","tight","fit","fit","fit","fat","true"
"iat","","633","f","10","145613","","thin","fit","fit","fit","fat","true"
"iat","","1319","j","12","147188","","stout","fat","fat","fit","fat","true"
"iat","","618","j","14","148060","","obese","fat","fat","fit","fat","true"
"iat","","580","f","16","148894","","tight","fit","fit","fit","fat","true"
"iat","","596","f","18","149744","","slim","fit","fit","fit","fat","true"
"iat","","786","j","20","150785","","flabby","fat","fat","fit","fat","true"
"iat","","434","j","22","151475","","fat","fat","fat","fit","fat","true"
"iat","","755","f","24","152485","","lean","fit","fit","fit","fat","true"
"iat","","662","f","26","153402","","skinny","fit","fit","fit","fat","true"
"iat","","563","f","28","154220","","slim","fit","fit","fit","fat","true"
"iat","","498","f","30","154972","","small","fit","fit","fit","fat","true"
"iat","","611","j","32","155837","","plump","fat","fat","fit","fat","true"
"iat","","754","f","34","156846","","muscle","fit","fit","fit","fat","true"
"iat","","1116","j","36","158216","","stout","fat","fat","fit","fat","true"
"iat","","973","f","38","159443","","muscle","fit","fit","fit","fat","true"
"iat","","678","f","40","160376","","small","fit","fit","fit","fat","true"
"iat","","610","j","42","161241","","chubby","fat","fat","fit","fat","true"
"iat","","568","f","44","162064","","lean","fit","fit","fit","fat","true"
"iat","","750","j","46","163068","","thick","fat","fat","fit","fat","true"
"iat","","1029","j","48","164351","","gaunt","fit","fit","fit","fat","false"
"iat","","2523","j","50","167129","","heavy","fat","fat","fit","fat","true"
"iat","","834","f","52","168218","","light","fit","fit","fit","fat","true"
"iat","","612","f","54","169085","","fit","fit","fit","fit","fat","true"
"iat","","782","j","56","170122","","fat","fat","fat","fit","fat","true"
"iat","","901","j","58","171278","","full","fat","fat","fit","fat","true"
"iat","","733","j","60","172265","","full","fat","fat","fit","fat","true"
"iat","","1280","j","62","173799","","plump","fat","fat","fit","fat","true"
"iat","","1009","j","64","175062","","gaunt","fit","fit","fit","fat","false"
"iat","","747","j","66","176064","","thick","fat","fat","fit","fat","true"
"iat","","507","j","68","176825","","heavy","fat","fat","fit","fat","true"
"iat","","556","f","70","177635","","skinny","fit","fit","fit","fat","true"
"iat","","623","j","72","178513","","obese","fat","fat","fit","fat","true"
"iat","","976","j","74","179744","","weight","fat","fat","fit","fat","true"
"iat","","730","f","76","180728","","light","fit","fit","fit","fat","true"
"iat","","4309","j","79","188191","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","767","f","81","189213","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","815","j","83","190283","","beans","healthy","healthy","unhealthy","healthy","true"
"iat","","1798","f","85","192337","","candy","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","1066","f","87","193658","","dirty","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","934","j","89","194847","","lettuce","healthy","healthy","unhealthy","healthy","true"
"iat","","1003","j","91","196105","","nutrient","healthy","healthy","unhealthy","healthy","true"
"iat","","577","j","93","196937","","cake","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","3415","j","95","200606","","fast","unhealthy","unhealthy","unhealthy","healthy","false"
"iat","","3114","f","97","203975","","soda","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","616","f","99","204846","","chips","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","474","f","101","205573","","cake","unhealthy","unhealthy","unhealthy","healthy","true"
"iat","","526","f","103","206355","","junk","unhealthy","unhealthy","unhealthy","healthy","true"
