"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video1","114007"," ","2","118042","","","","","","",""
"questionnairePartA","","39515","{""Q0"":2,""Q1"":3,""Q2"":2,""Q3"":1,""Q4"":2,""Q5"":1,""Q6"":3,""Q7"":3,""Q8"":1,""Q9"":2}","3","157561","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","2295","j","6","163764","","tight","fit","fit","fit","fat","false"
"iat","","5225","j","8","169244","","weight","fat","fat","fit","fat","true"
"iat","","1326","f","10","170824","","light","fit","fit","fit","fat","true"
"iat","","742","f","12","171822","","small","fit","fit","fit","fat","true"
"iat","","1374","f","14","173451","","muscle","fit","fit","fit","fat","true"
"iat","","797","j","16","174501","","thick","fat","fat","fit","fat","true"
"iat","","766","j","18","175519","","heavy","fat","fat","fit","fat","true"
"iat","","807","j","20","176578","","obese","fat","fat","fit","fat","true"
"iat","","920","j","22","177753","","stout","fat","fat","fit","fat","true"
"iat","","814","f","24","178821","","fit","fit","fit","fit","fat","true"
"iat","","1388","j","26","180464","","fat","fat","fat","fit","fat","true"
"iat","","900","j","28","181618","","gaunt","fit","fit","fit","fat","false"
"iat","","766","j","30","182637","","plump","fat","fat","fit","fat","true"
"iat","","735","f","32","183627","","small","fit","fit","fit","fat","true"
"iat","","754","j","34","184636","","obese","fat","fat","fit","fat","true"
"iat","","1297","f","36","186188","","tight","fit","fit","fit","fat","true"
"iat","","849","f","38","187291","","skinny","fit","fit","fit","fat","true"
"iat","","735","f","40","188281","","thin","fit","fit","fit","fat","true"
"iat","","775","j","42","189310","","full","fat","fat","fit","fat","true"
"iat","","759","f","44","190323","","light","fit","fit","fit","fat","true"
"iat","","728","f","46","191305","","thin","fit","fit","fit","fat","true"
"iat","","931","j","48","192491","","flabby","fat","fat","fit","fat","true"
"iat","","1348","f","50","194094","","flabby","fat","fat","fit","fat","false"
"iat","","1015","f","52","195363","","slim","fit","fit","fit","fat","true"
"iat","","642","j","54","196259","","gaunt","fit","fit","fit","fat","false"
"iat","","2760","f","56","199273","","skinny","fit","fit","fit","fat","true"
"iat","","661","f","58","200189","","lean","fit","fit","fit","fat","true"
"iat","","1016","j","60","201459","","weight","fat","fat","fit","fat","true"
"iat","","695","j","62","202408","","stout","fat","fat","fit","fat","true"
"iat","","585","j","64","203248","","chubby","fat","fat","fit","fat","true"
"iat","","879","j","66","204383","","slim","fit","fit","fit","fat","false"
"iat","","696","j","68","205333","","thick","fat","fat","fit","fat","true"
"iat","","720","j","70","206308","","full","fat","fat","fit","fat","true"
"iat","","676","f","72","207236","","lean","fit","fit","fit","fat","true"
"iat","","759","j","74","208248","","heavy","fat","fat","fit","fat","true"
"iat","","796","j","76","209298","","chubby","fat","fat","fit","fat","true"
